id;date;lang;file
1;2022-06-13T16:06:16;EN;../fake-data/blob/hipster.txt
2;2022-06-12T21:55:30;DE;../fake-data/blob/hipster.txt
3;2022-06-13T19:58:05;EN;../fake-data/blob/hipster.txt
4;2022-06-13T14:42:21;EN;../fake-data/blob/hipster.txt
5;2022-06-13T04:18:55;DE;../fake-data/blob/hipster.txt
6;2022-06-13T18:58:47;FR;../fake-data/blob/hipster.txt
7;2022-06-13T16:38:56;DE;../fake-data/blob/hipster.txt
8;2022-06-13T06:58:30;DE;../fake-data/blob/hipster.txt
9;2022-06-13T15:19:35;FR;../fake-data/blob/hipster.txt
10;2022-06-13T17:06:14;FR;../fake-data/blob/hipster.txt
